X,Filing Date,Trade Date,Ticker,Company Name,Insider Name,Title,Trade Type  ,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m,Insider
DM,2023-06-15 10:00:06,2023-05-02,FOMC,"Fomo Worldwide, Inc.",Grover Vikram P,"CEO, Dir, 10%",P - Purchase,$0.00,"+245,000,000","245,000,000",New,58000.0,,,,,"Grover Vikram P - CEO, Dir, 10%"
DM,2023-06-09 16:37:12,2023-05-02,FOMC,"Fomo Worldwide, Inc.",Grover Vikram P,"CEO, Dir, 10%",P - Purchase,$0.00,"+233,333,333","233,333,333",New,55000.0,,,,,"Grover Vikram P - CEO, Dir, 10%"
DM,2023-06-13 18:33:21,2023-05-02,FOMC,"Fomo Worldwide, Inc.",Grover Vikram P,"CEO, Dir, 10%",P - Purchase,$0.00,"+238,333,333","238,333,333",New,56000.0,,,,,"Grover Vikram P - CEO, Dir, 10%"
DM,2023-06-07 06:15:13,2023-05-02,FOMC,"Fomo Worldwide, Inc.",Grover Vikram P,"CEO, Dir, 10%",P - Purchase,$0.00,"+233,882,148","236,882,148",>999%,1043138.0,,,,,"Grover Vikram P - CEO, Dir, 10%"
,2023-05-04 14:09:28,2023-05-04,EWBC,East West Bancorp Inc,Teo Gary,EVP,P - Purchase,$43.00,"+3,450","14,855",+30%,148350.0,,,,,Teo Gary - EVP
,2023-05-04 14:11:02,2023-05-04,EWBC,East West Bancorp Inc,Oh Irene H,CFO,P - Purchase,$43.00,"+1,000","128,215",+1%,43000.0,,,,,Oh Irene H - CFO
,2023-05-04 16:15:23,2023-05-04,SMBK,Smartfinancial Inc.,Carroll William Young Jr.,"Pres, CEO",P - Purchase,$19.34,"+1,500","155,138",+1%,29010.0,,,,,"Carroll William Young Jr. - Pres, CEO"
,2023-05-04 18:03:16,2023-05-04,EWBC,East West Bancorp Inc,Ng Dominic,CEO,P - Purchase,$42.09,"+11,900","896,752",+1%,500889.0,,,,,Ng Dominic - CEO
,2023-05-04 18:04:58,2023-05-04,EWBC,East West Bancorp Inc,Shi Parker,COO,P - Purchase,$41.94,"+4,780","4,780",New,200473.0,,,,,Shi Parker - COO
,2023-05-04 21:24:24,2023-05-04,ADT,Adt Inc.,Young Donald M.,"EVP, COO",P - Purchase,$5.15,"+50,000","1,959,058",+3%,257500.0,,,,,"Young Donald M. - EVP, COO"
,2023-05-04 18:56:28,2023-05-04,ADT,Adt Inc.,Devries James David,"Pres, CEO",P - Purchase,$4.96,"+50,000","3,541,520",+1%,248000.0,,,,,"Devries James David - Pres, CEO"
,2023-05-04 20:26:44,2023-05-04,ADT,Adt Inc.,Porpora Kenneth,"EVP, CFO",P - Purchase,$5.12,"+12,000","487,139",+3%,61440.0,,,,,"Porpora Kenneth - EVP, CFO"
,2023-05-04 21:04:32,2023-05-04,ADT,Adt Inc.,Thorsen Wayne,"EVP, Chief Business Officer",P - Purchase,$5.14,"+10,000","452,194",+2%,51400.0,,,,,"Thorsen Wayne - EVP, Chief Business Officer"
A,2023-05-05 16:15:09,2023-05-04,SMBK,Smartfinancial Inc.,Carroll William Young Jr.,"Pres, CEO",P - Purchase,$19.33,"+1,500","155,138",+1%,28995.0,,,,,"Carroll William Young Jr. - Pres, CEO"
,2023-05-05 11:43:28,2023-05-04,HONE,"Harborone Bancorp, Inc.",Casey Joseph F,"Pres, CEO",P - Purchase,$8.25,"+10,000","313,806",+3%,82500.0,,,,,"Casey Joseph F - Pres, CEO"
,2023-05-04 18:34:13,2023-05-04,ADT,Adt Inc.,Smail David W,"EVP, CLO, Secretary",P - Purchase,$4.91,"+10,000","457,210",+2%,49100.0,,,,,"Smail David W - EVP, CLO, Secretary"
,2023-05-05 11:10:29,2023-05-04,HONE,"Harborone Bancorp, Inc.",Simmons Linda,"EVP, CFO",P - Purchase,$7.88,"+6,000","54,874",+12%,47280.0,,,,,"Simmons Linda - EVP, CFO"
,2023-05-08 16:49:13,2023-05-05,ALB,Albemarle Corp,Masters J Kent,"COB, CEO",P - Purchase,$181.64,"+5,470","51,466",+12%,993571.0,,,,,"Masters J Kent - COB, CEO"
,2023-05-08 16:08:31,2023-05-05,CNDT,Conduent Inc,Wood Stephen Henry,"EVP, CFO",P - Purchase,$3.00,"+33,373","697,681",+5%,100059.0,,,,,"Wood Stephen Henry - EVP, CFO"
,2023-05-08 16:34:32,2023-05-05,ADT,Adt Inc.,Jackson Delu,"EVP, CMO",P - Purchase,$5.76,"+8,650","194,675",+5%,49824.0,,,,,"Jackson Delu - EVP, CMO"
,2023-05-08 16:33:56,2023-05-05,ADT,Adt Inc.,Haenggi Jamie Elizabeth,"Exec. VP, Solar",P - Purchase,$5.79,"+100,000","1,443,641",+7%,579000.0,,,,,"Haenggi Jamie Elizabeth - Exec. VP, Solar"
,2023-05-05 16:17:17,2023-05-05,SNV,Synovus Financial Corp,Creson Shellie,"EVP, Chief Risk Officer",P - Purchase,$28.33,"+2,800","34,648",+9%,79324.0,,,,,"Creson Shellie - EVP, Chief Risk Officer"
,2023-05-08 16:46:54,2023-05-05,ALB,Albemarle Corp,Coleman Kristin M.,"EVP, GC",P - Purchase,$182.00,"+1,373","1,373",New,249886.0,,,,,"Coleman Kristin M. - EVP, GC"
,2023-05-08 16:05:36,2023-05-05,CNDT,Conduent Inc,Skelton Clifford,"Pres, CEO",P - Purchase,$2.91,"+34,418","3,447,499",+1%,100156.0,,,,,"Skelton Clifford - Pres, CEO"
,2023-05-05 16:17:45,2023-05-05,SNV,Synovus Financial Corp,Bishop Daniel Zachary,"EVP, Tech., Ops., Sec.",P - Purchase,$27.96,"+1,000","32,541",+3%,27960.0,,,,,"Bishop Daniel Zachary - EVP, Tech., Ops., Sec."
,2023-05-08 15:33:44,2023-05-08,IVAC,Intevac Inc,Hunton Nigel,"Pres, CEO",P - Purchase,$5.04,"+5,000","312,253",+2%,25200.0,,,,,"Hunton Nigel - Pres, CEO"
,2023-05-08 14:13:14,2023-05-08,IVAC,Intevac Inc,Moniz James P,"CFO,",P - Purchase,$5.06,"+5,000","300,117",+2%,25300.0,,,,,"Moniz James P - CFO,"
DM,2023-05-11 16:57:53,2023-05-09,BFS,"Saul Centers, Inc.",Saul B Francis II,"COB, CEO, 10%",P - Purchase,$33.39,"+10,000","10,739,895",0%,333851.0,,,,,"Saul B Francis II - COB, CEO, 10%"
D,2023-05-11 16:57:30,2023-05-09,BFS,"Saul Centers, Inc.",Pearson David Todd,"Pres, COO",P - Purchase,$33.00,"+3,500","5,530",+172%,115500.0,,,,,"Pearson David Todd - Pres, COO"
M,2023-05-11 16:40:14,2023-05-09,BRT,Brt Apartments Corp.,Gould Jeffrey,"Pres, CEO",P - Purchase,$16.90,"+5,954","3,981,339",0%,100639.0,,,,,"Gould Jeffrey - Pres, CEO"
M,2023-05-11 16:45:12,2023-05-09,BRT,Brt Apartments Corp.,Gould Matthew J,SVP,P - Purchase,$16.90,"+5,954","3,966,309",0%,100639.0,,,,,Gould Matthew J - SVP
,2023-05-09 20:28:53,2023-05-09,PBPB,Potbelly Corp,Wright Robert D.,"Pres, CEO",P - Purchase,$8.35,"+5,988","691,746",+1%,50000.0,,,,,"Wright Robert D. - Pres, CEO"
,2023-05-11 16:24:50,2023-05-09,PBPB,Potbelly Corp,Cirulis Steven,"SVP, CFO",P - Purchase,$8.35,"+3,117","327,077",+1%,26027.0,,,,,"Cirulis Steven - SVP, CFO"
,2023-05-10 16:11:16,2023-05-10,ABCB,Ameris Bancorp,Stokes Nicole S,CFO,P - Purchase,$29.07,"+1,000","34,894",+3%,29070.0,,,,,Stokes Nicole S - CFO
,2023-05-10 16:08:51,2023-05-10,ABCB,Ameris Bancorp,Proctor H Palmer Jr,CEO,P - Purchase,$29.25,"+10,000","549,389",+2%,292510.0,,,,,Proctor H Palmer Jr - CEO
M,2023-05-15 16:30:16,2023-05-11,AFCG,"Afc Gamma, Inc.",Tannenbaum Robyn,Pres,P - Purchase,$10.22,"+243,372","3,743,125",+7%,2488319.0,,,,,Tannenbaum Robyn - Pres
M,2023-05-15 16:30:22,2023-05-11,AFCG,"Afc Gamma, Inc.",Tannenbaum Leonard M,"CEO, 10%",P - Purchase,$10.22,"+243,372","3,743,125",+7%,2488319.0,,,,,"Tannenbaum Leonard M - CEO, 10%"
M,2023-05-17 20:22:25,2023-05-15,LAZR,"Luminar Technologies, Inc./De",Russell Austin,"Chairperson, Pres, CEO, 10%",P - Purchase,$6.03,"+1,475,685","3,805,685",+63%,8898350.0,,,,,"Russell Austin - Chairperson, Pres, CEO, 10%"
,2023-05-16 12:19:34,2023-05-15,LAZR,"Luminar Technologies, Inc./De",Russell Austin,"Chairperson, Pres, CEO, 10%",P - Purchase,$5.83,"+1,300,000","2,330,000",+126%,7574970.0,,,,,"Russell Austin - Chairperson, Pres, CEO, 10%"
,2023-05-17 16:49:25,2023-05-15,GOCO,"Gohealth, Inc.",Schulz Jason,CFO,P - Purchase,$14.29,"+6,881","273,548",+3%,98329.0,,,,,Schulz Jason - CFO
,2023-05-17 16:47:21,2023-05-15,GOCO,"Gohealth, Inc.",Kotte Vijay,CEO,P - Purchase,$13.78,"+7,241","646,130",+1%,99781.0,,,,,Kotte Vijay - CEO
M,2023-05-17 16:15:08,2023-05-15,SOND,Sonder Holdings Inc.,Davidson Francis,CEO,P - Purchase,$0.41,"+615,645","4,060,224",+18%,249596.0,,,,,Davidson Francis - CEO
,2023-05-17 16:04:57,2023-05-15,ECBK,"Ecb Bancorp, Inc. /Md/",Citrano John A,"EVP, COO, CFO",P - Purchase,$10.97,"+4,346","60,214",+8%,47655.0,,,,,"Citrano John A - EVP, COO, CFO"
,2023-05-17 16:03:53,2023-05-15,ECBK,"Ecb Bancorp, Inc. /Md/",Migliozzi John,"EVP, CLO",P - Purchase,$10.97,"+6,501","46,501",+16%,71296.0,,,,,"Migliozzi John - EVP, CLO"
,2023-05-15 16:33:00,2023-05-15,SOND,Sonder Holdings Inc.,Bourgault Dominique,CFO,P - Purchase,$0.32,"+100,000","100,000",New,32000.0,,,,,Bourgault Dominique - CFO
A,2023-05-17 20:18:51,2023-05-16,RILY,"B. Riley Financial, Inc.",Riley Bryant R,"COB, Co-CEO, 10%",P - Purchase,$32.95,"+20,000","6,665,631",0%,659062.0,,,,,"Riley Bryant R - COB, Co-CEO, 10%"
,2023-05-16 21:38:33,2023-05-16,SLQT,"Selectquote, Inc.",Danker Timothy Robert,CEO,P - Purchase,$1.23,"+100,000","1,673,781",+6%,123000.0,,,,,Danker Timothy Robert - CEO
,2023-05-18 09:16:45,2023-05-16,EGBN,Eagle Bancorp Inc,Riel Susan G,"Pres, CEO",P - Purchase,$17.60,"+1,800","295,711",+1%,31681.0,,,,,"Riel Susan G - Pres, CEO"
,2023-05-16 15:20:15,2023-05-16,RILY,"B. Riley Financial, Inc.",Riley Bryant R,"COB, Co-CEO, 10%",P - Purchase,$32.95,"+20,000","7,030,032",0%,659062.0,,,,,"Riley Bryant R - COB, Co-CEO, 10%"
,2023-05-16 21:39:33,2023-05-16,SLQT,"Selectquote, Inc.",Grant Robert Clay,Pres,P - Purchase,$1.28,"+200,000","3,848,641",+5%,256000.0,,,,,Grant Robert Clay - Pres
,2023-05-17 12:11:11,2023-05-16,EGBN,Eagle Bancorp Inc,Saltzman Paul,"EVP, GC",P - Purchase,$17.50,"+1,500","11,467",+15%,26250.0,,,,,"Saltzman Paul - EVP, GC"
,2023-05-18 06:30:10,2023-05-17,ADC,Agree Realty Corp,Agree Joey,"Pres, CEO",P - Purchase,$65.35,"+5,000","524,303",+1%,326750.0,,,,,"Agree Joey - Pres, CEO"
,2023-05-18 06:30:11,2023-05-17,ADC,Agree Realty Corp,Erlich Craig,COO,P - Purchase,$65.50,"+1,500","32,851",+5%,98250.0,,,,,Erlich Craig - COO
,2023-05-19 11:20:50,2023-05-19,BOWL,Bowlero Corp.,Lavan Robert M.,CFO,P - Purchase,$11.47,"+8,595","8,595",New,98585.0,,,,,Lavan Robert M. - CFO
AM,2023-05-23 08:23:57,2023-05-19,BOWL,Bowlero Corp.,Lavan Robert M.,CFO,P - Purchase,$11.66,"+17,162","17,162",New,200149.0,,,,,Lavan Robert M. - CFO
,2023-05-24 10:46:31,2023-05-23,GRNT,"Granite Ridge Resources, Inc.",Brandenberg Luke C,"Pres, CEO",P - Purchase,$5.67,"+10,000","39,820",+34%,56700.0,,,,,"Brandenberg Luke C - Pres, CEO"
,2023-05-25 16:05:57,2023-05-23,PRLD,Prelude Therapeutics Inc,Chardonnet Laurent,CFO,P - Purchase,$5.50,"+5,000","42,165",+13%,27500.0,,,,,Chardonnet Laurent - CFO
M,2023-05-25 16:14:30,2023-05-23,GRNT,"Granite Ridge Resources, Inc.",Farquharson Tyler,CFO,P - Purchase,$5.78,"+10,000","35,686",+39%,57836.0,,,,,Farquharson Tyler - CFO
,2023-05-25 16:03:57,2023-05-23,PRLD,Prelude Therapeutics Inc,Vaddi Krishna,CEO,P - Purchase,$5.63,"+11,856","2,713,245",0%,66749.0,,,,,Vaddi Krishna - CEO
,2023-05-30 06:30:06,2023-05-26,ADC,Agree Realty Corp,Erlich Craig,COO,P - Purchase,$64.09,"+3,000","35,851",+9%,192270.0,,,,,Erlich Craig - COO
,2023-05-30 06:30:09,2023-05-26,ADC,Agree Realty Corp,Coughenour Peter,CFO,P - Purchase,$64.25,+500,"6,043",+9%,32125.0,,,,,Coughenour Peter - CFO
,2023-05-30 16:30:05,2023-05-30,GCO,Genesco Inc,Ewoldsen Daniel E,SVP,P - Purchase,$19.31,"+1,545","42,555",+4%,29834.0,,,,,Ewoldsen Daniel E - SVP
,2023-05-30 16:32:51,2023-05-30,GCO,Genesco Inc,George Thomas,"SVP-Finance, CFO",P - Purchase,$18.56,"+5,402","32,920",+20%,100275.0,,,,,"George Thomas - SVP-Finance, CFO"
,2023-05-30 16:35:03,2023-05-30,GCO,Genesco Inc,Vaughn Mimi Eckel,"Board Chair, Pres, CEO",P - Purchase,$18.85,"+10,000","334,817",+3%,188549.0,,,,,"Vaughn Mimi Eckel - Board Chair, Pres, CEO"
,2023-06-02 14:59:39,2023-05-31,SBIG,"Springbig Holdings, Inc.",Harris Jeffrey Todd,"CEO, 10%",P - Purchase,$0.30,"+658,544","5,471,623",+14%,200000.0,,,,,"Harris Jeffrey Todd - CEO, 10%"
,2023-06-02 14:47:10,2023-05-31,SBIG,"Springbig Holdings, Inc.",Sykes Paul,CFO,P - Purchase,$0.30,"+164,636","261,743",+170%,50000.0,,,,,Sykes Paul - CFO
,2023-06-02 08:28:59,2023-05-31,ZD,"Ziff Davis, Inc.",Rossen Jeremy,"EVP, GC",P - Purchase,$58.45,"+1,000","10,699",+10%,58450.0,,,,,"Rossen Jeremy - EVP, GC"
,2023-06-02 08:29:15,2023-05-31,ZD,"Ziff Davis, Inc.",Richter Bret,CFO,P - Purchase,$59.13,"+2,000","5,142",+64%,118263.0,,,,,Richter Bret - CFO
,2023-06-02 16:10:13,2023-06-01,IART,Integra Lifesciences Holdings Corp,De Witte Jan,"Pres, CEO",P - Purchase,$38.50,"+7,792","12,798",+156%,299986.0,,,,,"De Witte Jan - Pres, CEO"
,2023-06-02 16:31:57,2023-06-01,BIG,Big Lots Inc,Robins Ronald A Jr,EVP,P - Purchase,$5.01,"+10,000","169,897",+6%,50050.0,,,,,Robins Ronald A Jr - EVP
,2023-06-02 16:54:37,2023-06-01,BIG,Big Lots Inc,Schlonsky Michael Allen,EVP,P - Purchase,$4.88,"+10,000","201,528",+5%,48800.0,,,,,Schlonsky Michael Allen - EVP
,2023-06-05 16:12:01,2023-06-01,IART,Integra Lifesciences Holdings Corp,Schwartz Eric,"EVP, GC, Sec",P - Purchase,$37.89,"+2,640","48,597",+6%,100035.0,,,,,"Schwartz Eric - EVP, GC, Sec"
,2023-06-06 16:00:37,2023-06-05,ZUMZ,Zumiez Inc,Ellis Adam Christopher,Pres International,P - Purchase,$14.67,"+10,000","34,393",+41%,146700.0,,,,,Ellis Adam Christopher - Pres International
,2023-06-06 16:01:14,2023-06-05,ZUMZ,Zumiez Inc,Brooks Richard Miles,"CEO, 10%",P - Purchase,$13.57,"+74,930","2,647,954",+3%,1016800.0,,,,,"Brooks Richard Miles - CEO, 10%"
A,2023-06-14 16:16:17,2023-06-09,RNAZ,"Transcode Therapeutics, Inc.",Dudley Robert Michael,CEO,P - Purchase,$2.76,"+19,000","61,155",+45%,52440.0,,,,,Dudley Robert Michael - CEO
,2023-06-13 16:16:17,2023-06-09,RNAZ,"Transcode Therapeutics, Inc.",Dudley Robert Michael,CEO,P - Purchase,$2.76,"+19,000","912,114",+2%,52440.0,,,,,Dudley Robert Michael - CEO
,2023-06-12 09:21:51,2023-06-09,CC,Chemours Co,Newman Mark,"Pres, CEO",P - Purchase,$34.63,"+7,661","301,590",+3%,265300.0,,,,,"Newman Mark - Pres, CEO"
A,2023-06-12 10:45:41,2023-06-09,CC,Chemours Co,Newman Mark,"Pres, CEO",P - Purchase,$32.63,"+7,661","301,590",+3%,249978.0,,,,,"Newman Mark - Pres, CEO"
,2023-06-14 21:53:32,2023-06-12,LSEA,Landsea Homes Corp,Forsum Michael,"Pres, COO",P - Purchase,$7.50,"+13,333","429,441",+3%,99998.0,,,,,"Forsum Michael - Pres, COO"
,2023-06-14 21:54:36,2023-06-12,LSEA,Landsea Homes Corp,Ho John,CEO,P - Purchase,$7.50,"+40,000","467,686",+9%,300000.0,,,,,Ho John - CEO
,2023-06-14 21:55:45,2023-06-12,LSEA,Landsea Homes Corp,Porter Christopher T,CFO,P - Purchase,$7.50,"+6,666","62,548",+12%,49995.0,,,,,Porter Christopher T - CFO
,2023-06-14 16:10:57,2023-06-13,CMTL,Comtech Telecommunications Corp /de/,Peterman Ken Allen,"COB, Pres, CEO",P - Purchase,$9.32,"+5,400","49,400",+12%,50332.0,,,,,"Peterman Ken Allen - COB, Pres, CEO"
,2023-06-14 16:11:17,2023-06-13,CMTL,Comtech Telecommunications Corp /de/,Bondi Michael,CFO,P - Purchase,$9.29,"+5,000","58,795",+9%,46450.0,,,,,Bondi Michael - CFO
M,2023-06-15 15:52:16,2023-06-13,SPFI,"South Plains Financial, Inc.",Griffith Curtis C,"COB, CEO, 10%",P - Purchase,$24.03,"+3,000","2,453,623",0%,72090.0,,,,,"Griffith Curtis C - COB, CEO, 10%"
AM,2023-06-15 16:46:08,2023-06-13,SPFI,"South Plains Financial, Inc.",Griffith Curtis C,"COB, CEO, 10%",P - Purchase,$24.03,"+3,000","2,453,623",0%,72090.0,,,,,"Griffith Curtis C - COB, CEO, 10%"
